               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10956,             0.02924,            0.041887,           0.0031332,             0.32051,            0.028447,           0.0090866,            0.085329,            0.024328,            0.031116,              0.0874,              0.0014,              0.0014
                   1,             0.08862,            0.031978,            0.024018,              0.7074,             0.21795,             0.18753,            0.077475,            0.073785,            0.021761,            0.012551,            0.073871,           0.0028713,           0.0028713
                   2,             0.08047,            0.025813,            0.010896,             0.69647,             0.21154,             0.19263,            0.080957,             0.07386,             0.01698,           0.0066208,            0.060313,           0.0043129,           0.0043129
                   3,            0.074525,            0.021958,           0.0090446,             0.83663,             0.24359,             0.28927,             0.11735,            0.070898,            0.014679,           0.0044727,            0.046725,           0.0057248,           0.0057248
                   4,            0.075544,            0.021266,           0.0068758,             0.77765,             0.28205,             0.28026,             0.14394,            0.069829,            0.013021,             0.00347,            0.033107,            0.007107,            0.007107
                   5,              0.0714,            0.020588,           0.0069884,             0.71539,             0.25641,             0.24183,            0.093372,            0.070525,            0.012513,           0.0034245,            0.019459,           0.0084594,           0.0084594
                   6,            0.071165,            0.019262,           0.0065851,             0.77348,             0.26282,             0.28344,             0.12992,            0.073837,            0.011713,           0.0030279,            0.009406,            0.009406,            0.009406
                   7,            0.067859,            0.019419,           0.0057256,             0.73411,             0.33333,             0.29448,             0.12882,            0.069983,            0.011173,           0.0025993,            0.009406,            0.009406,            0.009406
                   8,            0.066704,            0.017424,           0.0054586,             0.77744,             0.22436,             0.30975,              0.1527,            0.065744,            0.010613,           0.0028515,            0.009307,            0.009307,            0.009307
                   9,            0.057351,            0.016451,            0.004313,             0.74828,             0.36538,             0.54447,             0.28815,            0.052421,            0.010908,           0.0019711,            0.009208,            0.009208,            0.009208
                  10,            0.056967,            0.017015,           0.0035107,             0.90714,             0.32692,             0.89621,             0.50547,            0.051948,            0.010587,           0.0019115,            0.009109,            0.009109,            0.009109
                  11,            0.052811,            0.014915,           0.0036895,             0.87311,             0.38462,             0.89721,             0.36481,            0.051489,              0.0106,           0.0019405,             0.00901,             0.00901,             0.00901
                  12,            0.053557,            0.012872,            0.003872,             0.82554,             0.35256,             0.82983,             0.35019,            0.049558,           0.0095367,           0.0020777,            0.008911,            0.008911,            0.008911
                  13,            0.052186,            0.011367,           0.0032196,              0.4853,                   1,             0.88951,             0.46907,            0.042785,           0.0094934,           0.0019424,            0.008812,            0.008812,            0.008812
                  14,            0.051167,            0.013085,           0.0033068,              0.4047,             0.99359,             0.85015,             0.32956,            0.049283,           0.0087948,           0.0022404,            0.008713,            0.008713,            0.008713
                  15,            0.047458,             0.01276,           0.0032254,             0.52182,             0.98718,             0.91308,             0.64427,            0.040901,           0.0085149,           0.0023447,            0.008614,            0.008614,            0.008614
                  16,            0.048556,            0.013643,           0.0031406,             0.69288,             0.98718,             0.91914,             0.55676,            0.039279,            0.008275,           0.0022058,            0.008515,            0.008515,            0.008515
                  17,            0.043096,            0.011709,           0.0030132,             0.69231,             0.97436,             0.90238,             0.57279,            0.036554,           0.0082178,           0.0020414,            0.008416,            0.008416,            0.008416
                  18,            0.043134,            0.011566,           0.0028493,             0.79445,             0.96154,              0.9388,             0.45981,             0.03863,            0.007761,           0.0020924,            0.008317,            0.008317,            0.008317
                  19,            0.042331,            0.010656,           0.0025015,             0.72791,             0.96155,             0.85525,             0.47523,            0.035086,           0.0077953,           0.0019728,            0.008218,            0.008218,            0.008218
                  20,             0.03965,            0.010542,           0.0024619,             0.81823,             0.94872,             0.95016,             0.72183,            0.034075,           0.0073466,           0.0019422,            0.008119,            0.008119,            0.008119
                  21,            0.038914,            0.010972,           0.0024745,             0.72031,             0.94599,             0.91662,             0.65131,            0.034256,           0.0072422,           0.0018777,             0.00802,             0.00802,             0.00802
                  22,            0.039915,            0.011177,           0.0023074,             0.88012,             0.96154,             0.94749,             0.52753,            0.036861,           0.0071621,           0.0019009,            0.007921,            0.007921,            0.007921
