               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040755,            0.014076,            0.026284,             0.71044,             0.43827,             0.34295,             0.23592,            0.046105,            0.010717,            0.020045,              0.0838,              0.0018,              0.0018
                   1,            0.032352,            0.012777,            0.018209,             0.71825,             0.46296,             0.46237,             0.31418,            0.035616,           0.0089152,            0.020126,            0.066663,           0.0036634,           0.0036634
                   2,            0.030774,            0.011358,            0.016092,             0.70271,             0.47231,              0.4644,             0.30026,            0.030046,            0.008026,            0.015599,            0.049489,           0.0054891,           0.0054891
                   3,            0.035633,            0.010547,            0.011839,             0.74012,              0.4117,             0.47175,             0.27482,            0.035064,           0.0072967,            0.014054,            0.032277,           0.0072772,           0.0072772
                   4,            0.037099,            0.011307,             0.01199,             0.74185,             0.64198,             0.55085,             0.33121,            0.031653,           0.0074789,            0.013609,            0.015028,           0.0090278,           0.0090278
                   5,            0.039031,            0.011454,           0.0098054,             0.68491,             0.60279,              0.4597,             0.30358,            0.032189,           0.0068731,            0.012884,            0.009505,            0.009505,            0.009505
                   6,            0.039668,           0.0088559,           0.0090768,             0.42158,              0.6929,             0.63361,              0.3728,            0.037156,           0.0065258,            0.012148,            0.009505,            0.009505,            0.009505
                   7,            0.037015,           0.0091683,           0.0073803,             0.60847,             0.67396,              0.6638,             0.36401,            0.032853,           0.0069071,            0.011342,            0.009406,            0.009406,            0.009406
                   8,            0.037021,           0.0088759,           0.0060272,             0.85959,             0.62655,             0.80727,             0.45512,            0.032925,           0.0061161,           0.0094383,            0.009307,            0.009307,            0.009307
                   9,            0.037541,           0.0086968,           0.0052565,             0.74333,             0.90895,              0.8556,             0.49161,            0.032093,           0.0057687,           0.0073229,            0.009208,            0.009208,            0.009208
                  10,             0.03499,           0.0081236,           0.0045547,             0.75839,             0.81636,              0.8683,             0.47386,            0.033495,            0.005239,             0.00596,            0.009109,            0.009109,            0.009109
                  11,            0.037053,           0.0084765,           0.0042163,             0.93724,             0.79636,             0.92434,             0.54093,            0.030737,           0.0052101,           0.0051718,             0.00901,             0.00901,             0.00901
                  12,            0.036272,           0.0075524,           0.0030379,             0.91535,             0.79167,             0.90807,             0.54207,             0.03032,           0.0051928,           0.0050412,            0.008911,            0.008911,            0.008911
                  13,            0.036196,           0.0085756,           0.0030233,             0.81086,             0.79886,             0.90262,             0.51973,            0.030842,           0.0054729,           0.0049745,            0.008812,            0.008812,            0.008812
                  14,            0.033658,           0.0075318,           0.0030394,             0.90838,             0.81938,             0.91919,             0.54985,            0.031311,           0.0050524,           0.0042198,            0.008713,            0.008713,            0.008713
                  15,            0.035323,           0.0076425,            0.002881,             0.72628,              0.8504,             0.87212,             0.58773,            0.031636,           0.0050716,           0.0040792,            0.008614,            0.008614,            0.008614
                  16,            0.033317,           0.0067004,           0.0027936,             0.77499,             0.81645,              0.9074,             0.56176,            0.030603,           0.0048939,           0.0037185,            0.008515,            0.008515,            0.008515
                  17,            0.033404,           0.0078518,           0.0022917,             0.91182,             0.81019,             0.89769,             0.60677,            0.030879,           0.0048329,           0.0035562,            0.008416,            0.008416,            0.008416
                  18,            0.032383,             0.00755,           0.0025945,             0.90242,             0.83742,             0.96352,             0.70481,            0.022882,           0.0047251,           0.0033157,            0.008317,            0.008317,            0.008317
                  19,            0.030775,           0.0074152,           0.0022724,             0.88695,             0.85957,              0.9468,             0.64026,            0.027937,           0.0046488,           0.0027709,            0.008218,            0.008218,            0.008218
                  20,             0.03114,           0.0068379,           0.0023555,             0.82117,             0.92747,             0.91662,             0.58544,            0.029086,           0.0050066,           0.0028201,            0.008119,            0.008119,            0.008119
                  21,            0.031779,           0.0070339,           0.0023632,             0.91441,             0.96364,             0.97892,             0.62997,            0.026421,           0.0046544,           0.0027964,             0.00802,             0.00802,             0.00802
                  22,            0.030962,           0.0073689,           0.0024149,              0.8579,             0.99288,             0.96786,             0.57936,            0.030744,           0.0051546,           0.0028936,            0.007921,            0.007921,            0.007921
                  23,            0.032273,           0.0067523,           0.0023612,             0.88586,             0.99667,             0.98624,             0.78327,              0.0234,           0.0045478,           0.0029517,            0.007822,            0.007822,            0.007822
                  24,            0.031672,           0.0067439,           0.0020541,              0.8691,             0.99166,               0.984,             0.65241,            0.026217,           0.0045791,           0.0025955,            0.007723,            0.007723,            0.007723
                  25,            0.030226,           0.0069443,           0.0018038,             0.90881,             0.99051,             0.98184,               0.759,             0.02185,           0.0046207,           0.0025616,            0.007624,            0.007624,            0.007624
                  26,            0.029224,           0.0067877,           0.0017344,             0.78427,             0.97531,             0.84148,             0.57361,            0.027607,           0.0046854,           0.0026557,            0.007525,            0.007525,            0.007525
                  27,            0.028626,           0.0071497,           0.0019574,              0.9255,             0.99243,             0.98363,             0.72695,            0.025248,           0.0045441,           0.0028521,            0.007426,            0.007426,            0.007426
                  28,             0.02897,           0.0072126,           0.0018564,             0.95119,             0.97986,             0.98566,              0.7192,            0.022662,           0.0046731,           0.0027926,            0.007327,            0.007327,            0.007327
                  29,            0.029135,           0.0069376,           0.0019704,              0.9541,             0.97348,              0.9837,              0.7547,            0.021183,           0.0046485,           0.0026978,            0.007228,            0.007228,            0.007228
                  30,            0.028118,           0.0068439,             0.00178,             0.90564,             0.96316,             0.97897,             0.64686,            0.024666,           0.0046037,           0.0024927,            0.007129,            0.007129,            0.007129
                  31,            0.028655,           0.0062012,           0.0019882,             0.85041,             0.95833,             0.96592,             0.62678,            0.023832,           0.0049771,           0.0024623,             0.00703,             0.00703,             0.00703
                  32,            0.029009,           0.0067653,           0.0018365,             0.87196,             0.95911,             0.95549,             0.75917,            0.019532,           0.0050509,           0.0023975,            0.006931,            0.006931,            0.006931
                  33,            0.027213,           0.0062468,           0.0017398,             0.80487,             0.94599,             0.94934,             0.69809,            0.020249,           0.0050315,           0.0025745,            0.006832,            0.006832,            0.006832
                  34,              0.0262,            0.006234,           0.0016596,             0.92021,             0.98443,             0.98773,             0.71039,            0.019855,           0.0045906,           0.0025762,            0.006733,            0.006733,            0.006733
                  35,            0.026316,           0.0065159,           0.0017445,             0.93445,             0.98393,             0.98888,             0.67134,            0.023075,           0.0044196,            0.002371,            0.006634,            0.006634,            0.006634
                  36,            0.027174,           0.0067527,           0.0015363,             0.91332,             0.97975,             0.97602,             0.72602,            0.023866,           0.0046506,           0.0021891,            0.006535,            0.006535,            0.006535
                  37,            0.026402,           0.0059226,           0.0015047,             0.94078,             0.97359,             0.98485,             0.66584,             0.02447,            0.004399,           0.0022158,            0.006436,            0.006436,            0.006436
                  38,            0.025534,           0.0061806,           0.0016679,             0.96199,             0.94746,             0.98522,             0.69898,            0.023599,              0.0045,           0.0025244,            0.006337,            0.006337,            0.006337
                  39,            0.025164,           0.0060885,           0.0015528,             0.96537,             0.93779,             0.98206,             0.67803,            0.021449,           0.0040531,           0.0022727,            0.006238,            0.006238,            0.006238
                  40,            0.026005,           0.0059832,           0.0014889,              0.9531,             0.97253,             0.98574,             0.78765,            0.020467,           0.0041172,           0.0020512,            0.006139,            0.006139,            0.006139
                  41,            0.025265,           0.0060352,           0.0014873,             0.96542,             0.94564,             0.98219,              0.7095,            0.020893,           0.0041734,           0.0019515,             0.00604,             0.00604,             0.00604
                  42,            0.025125,            0.005962,           0.0014992,             0.95051,             0.98103,             0.98622,             0.77504,            0.020256,           0.0039662,           0.0020019,            0.005941,            0.005941,            0.005941
                  43,            0.025087,           0.0063882,           0.0013778,             0.95376,              0.9865,             0.98649,             0.77885,            0.019306,           0.0039181,           0.0019002,            0.005842,            0.005842,            0.005842
                  44,             0.02493,           0.0062529,            0.001306,             0.95979,             0.93336,             0.98106,             0.67767,            0.021503,           0.0039103,           0.0017908,            0.005743,            0.005743,            0.005743
                  45,             0.02594,           0.0061348,             0.00122,              0.9561,             0.97931,             0.98531,             0.68583,            0.018589,           0.0039527,           0.0017436,            0.005644,            0.005644,            0.005644
                  46,            0.022797,           0.0063843,           0.0013303,             0.97015,             0.98141,             0.99041,             0.75613,            0.018351,           0.0038504,           0.0018449,            0.005545,            0.005545,            0.005545
                  47,            0.024293,           0.0059303,            0.001421,             0.92579,              0.9816,             0.98871,             0.73012,            0.020031,           0.0040285,           0.0018891,            0.005446,            0.005446,            0.005446
                  48,            0.023104,           0.0057663,            0.001307,             0.95038,             0.98857,             0.98505,             0.78496,            0.017724,           0.0039232,           0.0019922,            0.005347,            0.005347,            0.005347
                  49,            0.021516,           0.0064458,           0.0012089,             0.96081,             0.98443,             0.98076,             0.76894,            0.017809,           0.0038472,           0.0021752,            0.005248,            0.005248,            0.005248
                  50,            0.023191,           0.0058602,           0.0012255,             0.97157,             0.98109,              0.9794,             0.75461,            0.018302,           0.0039303,            0.002044,            0.005149,            0.005149,            0.005149
                  51,            0.022011,           0.0060187,            0.001187,             0.96424,             0.98748,             0.98532,             0.80886,            0.019085,           0.0037471,           0.0018685,             0.00505,             0.00505,             0.00505
                  52,            0.022224,           0.0059555,           0.0011624,             0.95121,             0.99248,             0.98205,             0.76362,            0.019221,           0.0040582,           0.0018224,            0.004951,            0.004951,            0.004951
                  53,            0.022108,           0.0065367,           0.0011248,             0.95964,             0.98765,              0.9826,             0.72648,            0.017055,           0.0038752,           0.0017213,            0.004852,            0.004852,            0.004852
                  54,            0.020633,           0.0055818,           0.0010938,             0.95079,             0.98765,             0.97784,             0.71979,            0.018341,           0.0039002,           0.0015878,            0.004753,            0.004753,            0.004753
                  55,            0.021864,           0.0057925,           0.0011686,             0.95819,             0.98145,             0.98275,             0.74807,            0.017743,           0.0038947,           0.0016458,            0.004654,            0.004654,            0.004654
                  56,            0.022096,            0.005443,           0.0011316,             0.96818,             0.98411,             0.98538,             0.76455,            0.017381,           0.0037633,           0.0015997,            0.004555,            0.004555,            0.004555
                  57,            0.022339,           0.0050053,           0.0011054,             0.96658,             0.98765,              0.9881,             0.76544,            0.018355,            0.003688,           0.0015593,            0.004456,            0.004456,            0.004456
                  58,            0.020935,           0.0053548,           0.0010345,             0.95561,             0.99563,             0.98555,             0.81843,            0.016898,           0.0037974,           0.0017324,            0.004357,            0.004357,            0.004357
                  59,            0.020621,           0.0052955,           0.0010033,             0.96713,             0.98027,             0.98901,              0.8026,             0.01716,           0.0037189,           0.0016737,            0.004258,            0.004258,            0.004258
                  60,            0.021029,           0.0054047,           0.0010564,             0.97887,             0.97631,             0.98923,             0.78456,            0.017913,           0.0037828,           0.0016641,            0.004159,            0.004159,            0.004159
                  61,            0.021094,           0.0056814,           0.0009684,             0.97891,             0.97339,             0.98636,             0.80374,            0.015888,           0.0037668,           0.0017304,             0.00406,             0.00406,             0.00406
                  62,            0.020536,           0.0048232,          0.00095767,              0.9568,             0.98177,             0.98427,              0.7912,            0.017165,           0.0038335,           0.0016876,            0.003961,            0.003961,            0.003961
                  63,            0.019528,           0.0057255,          0.00088269,             0.94922,             0.98765,             0.98339,             0.80904,            0.017045,           0.0037005,           0.0016035,            0.003862,            0.003862,            0.003862
                  64,            0.020691,           0.0055076,          0.00093922,             0.97944,             0.98594,             0.98346,             0.81231,            0.018619,           0.0036639,           0.0015121,            0.003763,            0.003763,            0.003763
                  65,             0.02063,           0.0053186,          0.00093722,             0.97439,             0.98195,              0.9858,             0.78939,            0.015492,           0.0036908,            0.001503,            0.003664,            0.003664,            0.003664
                  66,            0.019265,           0.0056896,            0.001003,             0.97242,             0.98424,             0.98515,             0.80469,             0.01476,           0.0036418,           0.0014792,            0.003565,            0.003565,            0.003565
                  67,            0.018381,           0.0050979,           0.0008722,             0.95297,             0.98673,             0.98373,              0.8059,             0.01578,           0.0037663,           0.0015064,            0.003466,            0.003466,            0.003466
                  68,            0.018843,           0.0050038,          0.00091844,              0.9619,             0.97432,             0.98361,              0.8233,            0.014479,           0.0038033,           0.0014997,            0.003367,            0.003367,            0.003367
                  69,            0.018737,           0.0046912,          0.00099137,             0.96659,             0.98084,             0.98528,             0.83408,            0.014624,           0.0037038,           0.0014085,            0.003268,            0.003268,            0.003268
                  70,            0.018885,           0.0047257,           0.0007864,               0.973,             0.98765,             0.98482,             0.81488,            0.013934,           0.0037445,            0.001294,            0.003169,            0.003169,            0.003169
                  71,            0.018531,            0.005415,           0.0008282,             0.96835,             0.98385,             0.98749,             0.84762,            0.014115,           0.0037618,           0.0012819,             0.00307,             0.00307,             0.00307
                  72,            0.018523,           0.0054278,           0.0009269,             0.96286,             0.99556,             0.98744,             0.84817,            0.013129,           0.0036613,           0.0012523,            0.002971,            0.002971,            0.002971
                  73,            0.017991,           0.0053101,          0.00079466,             0.96283,             0.99521,             0.98725,              0.8443,               0.014,           0.0038002,           0.0012597,            0.002872,            0.002872,            0.002872
                  74,            0.017553,           0.0051373,          0.00074479,             0.96055,             0.98765,             0.98779,             0.84195,            0.012739,           0.0036077,           0.0012584,            0.002773,            0.002773,            0.002773
                  75,             0.01754,           0.0054425,          0.00069234,             0.95793,             0.98501,             0.98654,             0.83468,            0.014869,           0.0036909,           0.0012135,            0.002674,            0.002674,            0.002674
                  76,            0.017366,           0.0047248,          0.00074072,              0.9634,             0.98148,             0.98593,             0.85626,            0.014021,           0.0036525,            0.001193,            0.002575,            0.002575,            0.002575
                  77,            0.017192,           0.0051496,           0.0006846,             0.97171,             0.98111,             0.98547,             0.85612,            0.013601,           0.0034638,           0.0011898,            0.002476,            0.002476,            0.002476
                  78,            0.017099,           0.0049197,          0.00065958,             0.97188,              0.9861,             0.98837,             0.85431,            0.013282,           0.0033307,            0.001152,            0.002377,            0.002377,            0.002377
                  79,            0.017337,            0.004952,          0.00066139,             0.97679,             0.99107,             0.99021,             0.86438,            0.012746,           0.0032366,           0.0010916,            0.002278,            0.002278,            0.002278
                  80,            0.016182,           0.0050563,          0.00065703,             0.97194,             0.98765,             0.99036,             0.85906,            0.012577,           0.0032872,           0.0010223,            0.002179,            0.002179,            0.002179
                  81,            0.016885,           0.0047003,          0.00067169,             0.97819,             0.98765,             0.99016,             0.87477,            0.011953,           0.0032491,           0.0009723,             0.00208,             0.00208,             0.00208
                  82,             0.01646,           0.0046063,          0.00065768,             0.97724,             0.98765,             0.99033,             0.86289,            0.012361,           0.0033288,          0.00093241,            0.001981,            0.001981,            0.001981
                  83,            0.016858,           0.0047046,          0.00062575,             0.97684,             0.98765,             0.99107,             0.85372,            0.012657,           0.0033957,          0.00093427,            0.001882,            0.001882,            0.001882
